playerid;teamid;isloaned
201153;47;1
205431;19;1
205812;47;0
213666;47;0
227796;47;0
232411;47;0
232756;47;0
237942;47;0
241721;47;0
245152;47;0
245630;47;0
246172;47;1
252060;47;1
253177;47;1
256899;47;1
265774;47;0
271579;47;1
278928;47;1
200752;48;0
202884;48;0
246457;48;1
192505;48;0
192985;48;0
216409;48;0
216435;48;0
216816;48;1
217870;48;0
220532;48;0
224836;54;1
225116;48;0
227236;48;0
236632;48;0
237238;48;0
237669;48;1
239380;48;1
239679;48;0
240716;48;0
241390;112172;1
243241;48;0
244263;48;0
244472;48;1
245741;48;1
245992;48;0
261865;48;0
262394;48;0
268511;48;1
268656;48;1
268683;48;1
207650;13;0
223334;13;0
233934;17;1
241096;13;0
247851;13;0
163600;13;0
186345;13;0
198032;13;0
198039;13;0
203841;13;0
206085;13;0
210047;13;0
211990;13;1
218659;13;1
234742;13;0
234824;13;0
237329;13;0
242964;13;0
246923;13;0
251809;13;0
262118;13;0
240702;280;1
208364;66;0
210372;66;0
211256;66;0
219683;66;0
220093;74;1
225263;66;1
225782;66;0
225859;66;0
233267;66;1
234078;66;0
234371;66;0
246947;66;1
247050;66;0
256420;66;0
256970;267;1
262102;66;0
263139;66;0
263815;66;0
264325;66;1
265459;66;0
201455;219;0
211784;219;1
215316;219;0
223143;219;1
240507;219;1
240753;219;0
240787;1943;1
242835;219;0
246297;219;0
188567;219;0
210736;219;0
213648;219;0
226851;44;1
232097;219;1
237841;219;0
239559;219;0
241496;45;1
243009;219;1
244749;219;0
246147;219;0
251806;219;0
256669;219;1
264401;219;1
271400;219;0
278095;219;0
237679;73;1
240225;73;0
251752;73;0
252145;73;0
207865;73;0
220814;73;0
226271;73;0
231443;73;0
235212;73;0
243780;73;0
247635;73;0
255253;73;0
256196;73;0
264652;73;0
279709;73;0
197445;243;0
228618;243;0
231281;243;0
231410;243;0
243812;243;0
243952;243;0
246606;243;0
248243;243;0
252371;243;0
268889;243;0
278349;243;0
192119;243;0
204963;243;0
205452;243;0
222509;243;0
231747;243;0
238794;243;0
239053;243;0
240130;243;0
241637;243;0
264309;243;0
190813;52;0
208268;52;0
211110;52;0
224490;52;0
228251;52;0
229582;52;0
229668;52;0
231447;2;1
232223;9;1
236403;52;0
242458;52;0
245426;52;1
250723;52;0
258826;52;0
259608;1808;1
268728;52;1
271916;21;1
211515;52;0
220651;52;0
230872;52;0
233189;52;0
239964;52;1
246688;52;1
262745;52;0
269312;52;1
229391;21;1
232488;18;0
236480;18;0
237985;18;0
240091;18;0
261025;18;1
205923;18;0
220697;18;0
225539;18;0
227535;18;0
231943;18;0
236568;18;0
238216;18;0
245367;18;0
246791;18;1
247394;18;0
259583;18;0
260105;18;0
264180;18;1
264453;18;0
264731;18;1
269176;18;1
